X1,X2,color
0,0,c1
-0.000457218,0.001951153,c1
0.0011943,0.003825943,c1
-0.000231299,0.006007573,c1
-0.000896347,0.00796576,c1
0.002162341,0.00978394,c1
0.002624166,0.011734201,c1
-0.000997849,0.013992521,c1
0.001077624,0.015995806,c1
-0.006629485,0.016773486,c1
0.006116595,0.019083817,c1
0.006230971,0.021145137,c1
0.006804151,0.023065439,c1
-0.007699982,0.024888198,c1
0.001273562,0.028027192,c1
0.003618384,0.02984155,c1
0.006663612,0.031364065,c1
0.006570879,0.033428453,c1
0.014329722,0.033103756,c1
-0.005956305,0.03760739,c1
0.004789783,0.039792929,c1
0.001562765,0.042055142,c1
0.009407692,0.04307276,c1
0.013403327,0.044100343,c1
0.021180308,0.043181458,c1
0.005327571,0.049816133,c1
0.017549256,0.049059883,c1
-0.007923825,0.053524873,c1
0.010477541,0.055125338,c1
0.024977701,0.05247486,c1
0.009632429,0.059343573,c1
0.01930526,0.059048533,c1
0.028815524,0.057289605,c1
0.030169331,0.058849706,c1
0.02934754,0.061492061,c1
0.017770117,0.067851912,c1
0.022249927,0.068627539,c1
0.017050972,0.072161168,c1
0.034688078,0.067793147,c1
0.055563536,0.054964558,c1
0.026420942,0.07568098,c1
0.017559098,0.080266151,c1
0.028378442,0.07923997,c1
-0.006053455,0.085959459,c1
0.034521261,0.081137856,c1
0.016259399,0.088702477,c1
0.03086207,0.086864783,c1
0.034972374,0.087455036,c1
0.049113339,0.08270946,c1
0.041455706,0.089016605,c1
0.053987246,0.084412663,c1
0.012200171,0.101473627,c1
0.014174021,0.103239969,c1
0.041817086,0.097634064,c1
0.034371579,0.10261282,c1
0.044132723,0.100999249,c1
0.055733061,0.09740715,c1
0.049666024,0.102866061,c1
0.063511144,0.097346394,c1
0.083327737,0.083882964,c1
0.033935107,0.115352424,c1
0.05589721,0.108716222,c1
0.065850354,0.105363276,c1
0.05642374,0.112942714,c1
0.084549761,0.09644206,c1
0.005332854,0.130151312,c1
0.106433963,0.078522081,c1
0.040774055,0.127927778,c1
0.075529651,0.113426092,c1
0.088449394,0.106287863,c1
0.055148754,0.128985467,c1
0.087411213,0.112268332,c1
0.094924527,0.10866705,c1
0.09310622,0.112839498,c1
0.058831497,0.136127641,c1
0.126698135,0.080856992,c1
0.092730762,0.120820941,c1
0.058195428,0.142914106,c1
0.106736901,0.114196632,c1
0.094694362,0.126874482,c1
0.107409146,0.119020937,c1
-0.010285257,0.161998473,c1
0.130892881,0.099352711,c1
0.106626433,0.127661112,c1
0.109248366,0.128070411,c1
0.095525906,0.141034566,c1
0.128662899,0.114667129,c1
0.135960659,0.109142876,c1
0.121439206,0.127878051,c1
0.149289108,0.097590366,c1
0.121269863,0.133505094,c1
0.110287115,0.14523652,c1
0.093507386,0.158896822,c1
0.109581648,0.150753649,c1
0.149509848,0.114597585,c1
0.12909149,0.139929345,c1
0.124023858,0.147071351,c1
0.150220129,0.123373051,c1
0.106272892,0.165155075,c1
0.126472128,0.152859702,c1
0.151851895,0.13077264,c1
0.161391691,0.122149209,c1
0.162423887,0.124102561,c1
0.159446272,0.131084481,c1
0.167136476,0.124510943,c1
0.188881651,0.092739704,c1
0.135785359,0.1633605,c1
0.148362483,0.154817017,c1
0.193920796,0.096114049,c1
0.126479257,0.17809454,c1
0.191963326,0.108370955,c1
0.115820564,0.189913996,c1
0.162200177,0.15513997,c1
0.197063367,0.111565891,c1
0.175063419,0.14678338,c1
0.178416782,0.145875592,c1
0.203469255,0.112428671,c1
0.127350179,0.196869537,c1
0.193077917,0.136529748,c1
0.204798379,0.122183802,c1
0.190190376,0.147168998,c1
0.181596665,0.160691045,c1
0.182281916,0.162936072,c1
0.216604136,0.117649651,c1
0.151055859,0.197314175,c1
0.221019347,0.117903352,c1
0.19999588,0.154144179,c1
0.208233367,0.146334224,c1
0.235668291,0.101288643,c1
0.238008938,0.100909871,c1
0.23098441,0.12048824,c1
0.231578757,0.123655493,c1
0.248540809,0.090570905,c1
0.264421559,0.03348305,c1
0.250488407,0.096786974,c1
0.210188713,0.170332563,c1
0.169913914,0.213096429,c1
0.273521416,0.023732728,c1
0.190351435,0.200618922,c1
0.272173932,0.05929095,c1
0.268920892,0.079975605,c1
0.245705624,0.139541388,c1
0.272522742,0.081920386,c1
0.237393688,0.160525404,c1
0.2838565,0.051983279,c1
0.253128061,0.142701074,c1
0.282730749,0.075295456,c1
0.288971612,0.057255495,c1
0.272157085,0.117889946,c1
0.297200876,-0.028843093,c1
0.289777705,0.079937255,c1
0.296509572,0.060431674,c1
0.274659188,0.131716007,c1
0.287422003,0.106772012,c1
0.307970154,0.01997453,c1
0.274176789,0.145988508,c1
0.229802933,0.211955559,c1
0.292303976,0.116404279,c1
0.280616751,0.146665826,c1
